time,plv,part,pven,qao,qper,qmv,vlv,vart,vven,accuracy,est,phase,cycle,cpu
146.0,0.8573,11.044752553781281,1.8963753013360445,0.0,76.2364771037103,207.8150602672089,86.05600535384065,776.118813844532,4137.825180801627,-1,-1,-1,1,-1
148.0,0.8679,11.038653635612986,1.8959367060588344,0.0,76.18930774628458,205.60734121176685,86.47163547437506,775.9663408903247,4137.562023635301,-1,-1,-1,1,-1
150.0,0.8783,11.032558490993283,1.8955053126139485,0.0,76.1421098198278,203.44106252278974,86.8828501567986,775.8139622748321,4137.303187568369,-1,-1,-1,1,-1
152.0,0.8885,11.026467122207697,1.8950809827716057,0.0,76.09488449530075,201.31619655432118,87.28973228184418,775.6616780551924,4137.048589662963,-1,-1,-1,1,-1
154.0,0.8987,11.02037953144807,1.8946635783980765,0.0,76.0476329420833,199.1927156796153,87.69236467495283,775.5094882862018,4136.798147038846,-1,-1,-1,1,-1
156.0,0.9091,11.014295720812703,1.8942530947889509,0.0,76.0003552168646,197.03061895779018,88.09075010631206,775.3573930203175,4136.5518568733705,-1,-1,-1,1,-1
158.0,0.9196,11.008215692395352,1.893849660576481,0.0,75.95305026515726,194.84993211529618,88.48481134422764,775.2053923098838,4136.309796345889,-1,-1,-1,1,-1
160.0,0.93,11.002139448374137,1.8934533376369806,0.0,75.90571758947631,192.6906675273961,88.87451120845823,775.0534862093534,4136.072002582188,-1,-1,-1,1,-1
162.0,0.9404,10.996066990966979,1.8930640544705208,0.0,75.85835780413714,190.5328108941042,89.25989254351302,774.9016747741745,4135.8384326823125,-1,-1,-1,1,-1
164.0,0.9506,10.989998322342649,1.8926818062935535,0.0,75.81097096707579,188.4163612587107,89.64095816530123,774.7499580585662,4135.609083776132,-1,-1,-1,1,-1
166.0,0.9609,10.983933444665281,1.8923064549925828,0.0,75.76355824727247,186.28129099851657,90.01779088781865,774.598336116632,4135.38387299555,-1,-1,-1,1,-1
168.0,0.9713,10.977872360005499,1.8919380625500783,0.0,75.71611914546183,184.12761251001567,90.39035346981568,774.4468090001375,4135.162837530047,-1,-1,-1,1,-1
170.0,0.9817,10.971815070473863,1.8915766909055294,0.0,75.66865316306945,181.97533818110585,90.75860869483571,774.2953767618466,4134.946014543318,-1,-1,-1,1,-1
172.0,0.9921,10.965761578220818,1.8912223352888031,0.0,75.62116035776678,179.82446705776061,91.12255937119792,774.1440394555204,4134.733401173282,-1,-1,-1,1,-1
174.0,1.0025,10.959711885392199,1.8908749909331362,0.0,75.57364078715885,177.67499818662725,91.48220830531345,773.992797134805,4134.524994559882,-1,-1,-1,1,-1
176.0,1.0128,10.953665994129224,1.8905346530751377,0.0,75.52609450878406,175.54693061502755,91.8375583016867,773.8416498532306,4134.320791845083,-1,-1,-1,1,-1
178.0,1.0231,10.94762390656852,1.8902012502881174,0.0,75.47852213567002,173.4202500576235,92.18865216291675,773.690597664213,4134.12075017287,-1,-1,-1,1,-1
180.0,1.0335,10.941585624797668,1.8898747778617113,0.0,75.4309237244663,171.27495557234224,92.535492663032,773.5396406199417,4133.924866717027,-1,-1,-1,1,-1
182.0,1.0439,10.935551150899709,1.8895552977555508,0.0,75.38329877620131,169.13105955111013,92.87804257417669,773.3887787724927,4133.7331786533305,-1,-1,-1,1,-1
184.0,1.0543,10.929520486997612,1.8892428052196344,0.0,75.33564734814982,166.98856104392686,93.21630469327891,773.2380121749403,4133.545683131781,-1,-1,-1,1,-1
