x,y,z,u,v,efx,efy,efz,esx,esy,esz,enx,eny,enz,xi,theta,phi
1.3034475564e-15,21.286914027,-35.40185693,-0.564136812353875,0.6316871401863116,-0.914786652,-0.26927015,-0.301096276,0.107858617,-0.881169085,0.460334186,0.389270985,-0.388631741,-0.835124823,0.6335143211849045,2.321067157312528,1.570796326794897
1.1914684799e-15,19.458156927,-34.202603795,-0.5685774389776791,0.2811699483061043,-0.990007805,-0.111285414,0.08660312739999999,0.137925948,-0.891995289,0.430489068,-0.0293424274,-0.438132355,-0.8984314450000001,0.5818209132811701,2.315114906653107,1.570796326794897
1.0811313271e-15,17.656214475,-33.113330987,-0.5736269428441957,-0.05728760398511645,-0.871291511,0.0352912214,0.489495283,0.186740652,-0.898542411,0.397176869,-0.453849129,-0.437465503,-0.776302069,0.5301275053464197,2.309377033034827,1.570796326794897
9.722066927e-16,15.877340199,-32.131658487,-0.5803252753906498,-0.3829961631099293,-0.598720433,0.151727628,0.786455701,0.245616122,-0.89980774,0.360581129,-0.762369047,-0.409053489,-0.501466528,0.4784340974116693,2.303911205856581,1.570796326794897
8.6448344569e-16,14.118086068,-31.255525655,-0.5864905021980712,-0.6955232373753649,-0.344361448,0.238896804,0.907933649,0.231079269,-0.915764033,0.328600986,-0.909954705,-0.322962155,-0.26014973,0.426740689507935,2.29877734715402,1.570796326794897
7.5776890479e-16,12.375305359,-30.48317488,-0.5941761305677195,-1,-0.329018283,0.284865485,0.900332508,-5.83798489e-17,-0.9534152849999999,0.301660892,-0.944323551,-0.0992519486,-0.31369106,0.3750472815731846,2.294036425616988,1.570796326794897
8.857791370899999,21.38460006,-36.713803677,-0.5603113415236378,1,-0.740178655,-0.0976264645,-0.665285376,-0.333703242,-0.805630893,0.489490562,0.583761685,-0.584318353,-0.563732523,0.6852077291196549,2.327179307763315,1.178097245096172
8.1461493244,19.66654418,-35.40185693,-0.564136812353875,0.6316871401863116,-0.94819789,0.101300515,-0.301096276,-0.237560441,-0.855369788,0.460334186,0.210916567,-0.508016468,-0.835124823,0.6335143211849045,2.321067157312528,1.178097245096172
7.4463142803,17.976992925,-34.202603795,-0.5685774389776791,0.2811699483061043,-0.957235033,0.276045268,0.08660312739999999,-0.213924859,-0.876878166,0.430489068,-0.194774862,-0.393552655,-0.8984314450000001,0.5818209132811701,2.315114906653107,1.178097245096172
6.7567407577,16.312215175,-33.113330987,-0.5736269428441957,-0.05728760398511645,-0.791463028,0.366033663,0.489495283,-0.171331428,-0.901607496,0.397176869,-0.586712721,-0.230484882,-0.776302069,0.5301275053464197,2.309377033034827,1.178097245096172
6.0759950443,14.668749641,-32.131658487,-0.5803252753906498,-0.3829961631099293,-0.495081904,0.36929844,0.786455701,-0.117421806,-0.925307175,0.360581129,-0.860875152,-0.086170143,-0.501466528,0.4784340974116693,2.303911205856581,1.178097245096172
